CNPJ;NOME FANTASIA;RAZÃO SOCIAL;SIF;ENDEREÇO;BAIRRO;CEP;MUNICIPIO;UF;TELEFONE;FAX;SITE
02.916.265/0070-91;FRIBOI ;JBS S/A ;4302;RD. MT 208 KM 150;DISTRITO INDUSTRIAL;78.580-000;ALTA FLORESTA;MT;(66) 3512-7500;(66) 3512-7575;
02.916.265/0136-52;FRIBOI ;JBS S/A ;1110;ROD. BR 158, S/N. LOTE 01 GLEBA CAJU BLOCO A ;ZONA RURAL ;68.560-000;SANTANA DO ARAGUAIA;PA;(94) 3431-1093;(94) 3431-1093;www.redencao.com.br
02.916.265/0137-33;FRIBOI ;JBS S/A ;807;AV. ROSA LIMA DE ALMEIDA, S/N, KM 03 BLOCO A ;ZONA RURAL;68.552-030;REDEN..O;PA;(94) 3424.1205;(94) 3424.1221;
02.916.265/0005-93;FRIBOI;JBS S/A;862;AV LAGO AZUL S/N;FAZENDA CAVEIRA;74.893-780;GOI.NIA;GO;(62) 3272 -1313;(62) 3272-1359;www.jbs.com.br            
07.555.950/0010-12;;RIO GRANDE COM.RCIO DE CARNES LTDA ;2431;ROD BR 010 S/N.,  KM 1356;LAGOA CERCADA;65.903-390;IMPERATRIZ;MA;(99) 3526-1128;(99) 3526-1132;
16.820.052/0006-59;MATABOI;MATABOI ALIMENTOS LTDA ;177;AV.  THEODORETO VELOSO DE CARVALHO, 2053 - BLOCO A;PAINEIRAS;38.445-198;ARAGUARI;MG;(34) 3221-2704;;
13.260.924/0002-50;;FRIGOR.FICO PROSPERIDAD S/A ;1803;RUA COMENDADOR ERICK MARKUS, 1000 ;BOSQUE;38.446-010;ARAGUARI;MG;(34) 3242-1066;;www.izzy.com.br
27.497.684/0007-20;FRISA;FRISA FRIGOR.FICO RIO DOCE S/A;2051;AVENIDA  MUCUR., 2000;LATIC.NIOS;39.860-000;NANUQUE;MG;(33) 3621.9100;(33) 3621.5088;www.frisa.com.br
02.916.265/0024-56;;JBS S/A;3225;ROD. BR 497 KM 2,5;ZONA RURAL;38.280-000;ITURAMA;MG;(34) 3411-9400;(34) 3411-9421;
02.916.265/0004-02;FRIBOI;JBS S/A;1662;AV DUQUE DE CAXIAS, 7255;VILA NOVA CAMPO GRANDE ;79.105-000;CAMPO GRANDE;MS;67 2107 - 2522;67 2107 - 2585;www.jbs.com.br
03.853.896/0003-01;;MARFRIG GLOBAL FOODS S. A. ;2543;VIA ACESSO DR. SHUEI UETSUKA KM 02;;16.370-000;PROMISS.O;SP;(14) 3541.0099;;www.marfrig
52.645.009/0012-06;FRIGOESTRELA;FRIGOESTRELA S. A. ;2924;CH.CARA APARECIDA;ZONA RURAL-CAIXA POSTAL 25;15.650-000;ESTRELA D'OESTE;SP;(17) 3833.2800;(17) 3833.2809;www.frigoestrela.com.br                                                                             
02.916.265/0011-31;FRIBOI S. A.;JBS  S/A;385;AV. JOS. BATISTA SOBRINHO S/N.;S.O FRANCISCO;16.901-904;ANDRADINA;SP;(18) 3702-7500;(18) 3702-7500;www.jbs.com.br
67.620.377/0001-14;;MINERVA S. A. ;421;PROL AV ANTONIO M. BERNARDES S/N ;CHACARA MINERVA;14.780-000;BARRETOS;SP;17-3321-3355;17-3323-3041;www.minerva.ind.br
67.620.377/0003-86;MINERVA - QUALIDADE EM CARNES;MINERVA S. A.;451;AV. BRAULINO BASILIO MAIA, 665;VILA FRIGOR.FICO;15.200-000;JOS. BONIF.CIO;SP;(17) 3265-9000;(17) 3245-2409;www.minerva.ind.br
02.916.265/0029-60;FRIBOI;JBS S/A;458;AV DOMINGOS FERREIRA DE MEDEIROS, S/N., ANEXO I    ;DISTRITO INDUSTRIAL ;19.470-000;PRESIDENTE EPIT.CIO;SP;(18) 3281.9400;(18) 3281.9410;www.jbs.com.br
02.916.265/0251-54;;JBS S/A ;545;EST. VICINAL VERISSIMO FERNANDES S/N.,  BLOCO: 05 B3 B4 B6 E B9;ZONA URBANA;15.775-000;SANTA F. DO SUL;SP;(17) 3631-9000/9044;(17) 3631-9044;www.jbs.com.br
03.151.790/0004-47;;BARRA MANSA COM.RCIO DE CARNES E DERIVADOS LTDA;941;S.TIO NOSSA SENHORA APARECIDA S/N.;ZONA RURAL;14.160-970;SERT.OZINHO;SP;(16) 3946-5300/4700;(16) 3946-5318/4700;www.frigrificobarramansa.com.br
02.964.051/0001-69;COOPERFRIGU FOODS;COOPERATIVA DOS PRODUTORES DE CARNE E DERIVADOS DE GURUPI;93;AV. GOI.S, 917;ZONA SUBURBANA;77.402-970;GURUPI;TO;(63) 3311-4100;(63) 3311-4141;www.cooperfrigu.com.br
04.304.360/0002-19;BON - MART;BON - MART FRIGOR.FICO LTDA;2121;AV ANA JACINTA, 335;JARDIM BON-MART;19.027-080;PRESIDENTE PRUDENTE;SP;(18) 3901-3500;(18) 3901-3522;www.bonmart.com.br
04.082.624/0015-51;FRIGON - FRIGOR.FICO IRM.OS GON.ALVES ;IRM.OS GON.ALVES, COM.RCIO E IND.STRIA LTDA;2443;ROD. 364, KM 3,5 S/N., LOTE 90 A2;ZONA RURAL ;76.890-000;JARU;RO;(69) 3521.2261;(69) 521.2515;
76.513.480/0001-56;;PIRAP. PARTICIPA..ES LTDA;4701;RODOVIA PR 317 KM 52 ;GLEBA INTERVENTOR;86.770-000;SANTA F.;PR;(44) 3247-1144;(44) 3247-1190;www.frigorificosantafe.com.br
02.916.265/0066-05;FRIBOI ;JBS S/A ;826;RUA PROJETADA, S/N, SESMARIA S.O GON.ALO;COXIPO DA PONTE;78.015-285;CUIAB.;MT;(65) 4009 2500;(65) 3661-0757;www.jbs.com.br
02.591.772/0001-70;FRIGOSUL;FRIGOR.FICO SUL LTDA;889;ROD. BR 158 KM 08;ZONA RURAL;79.570-000;APARECIDA DO TABOADO;MS;(67) 3565-9000;(67) 3565-9008;
05.826.986/0002-58;;FRIGORIFICO BETTER BEEF LTDA - EPP;1925;RODOVIA  SP 284 S/N,  KM 519;AGUA DA LAVADEIRA;19.600-000;RANCHARIA;SP;(18)  3265.9510;(18)   3265.9510;www.betterbeef.com.br
26.166.993/0001-60;SULFRIGO;SULFRIGO ALIMENTOS LTDA - EPP;760;AV. APAR.CIO CORREA DE BARROS, 22, PARQUE FRIGORIFICO;CENTRO;98.130-000;J.LIO DE CASTILHOS;RS;(55) 3271-1313;(55) 3271-2196;
76.098.219/0046-39;;COOPAVEL - COOPERATIVA AGROINDUSTRIAL ;3887;BR 277 - KM 582;VILA INDUSTRIAL;85.818-460;CASCAVEL;PR;(45) 3218 5019/5205;(45) 3218/5011;
02.916.265/0016-46;;JBS S/A;2979;AV. HAMILTON SIMIONI, KM 1,5;INDUSTRIAL;78.260-000;ARAPUTANGA;MT;(65) 3211-2000;(65) 3211-2065;
02.916.265/0196-93;;JBS S/A ;4393;ROD. BR 158 KM 05, S/N.;SETOR INDUSTRIAL  ;78.645-000;VILA RICA;MT;066  3554-3100  ;066 3554-3100;www.jbs.com.br
02.916.265/0117-90;FRIBOI;JBS S/A;504;RUA PRINCIPAL S/N;VILA MIISA ;38.300-899;ITUIUTABA;MG;;;
02.914.460/0061-91;;SEARA ALIMENTOS LTDA;1897;ROD. BR 163 KM 6 DISTRITO DE S.O PEDRO;ZONA RURAL;79.804-970;DOURADOS;MS;(67) 3411-2000;(67) 3411-2016;www.seara.com.br
68.067.446/0004-10;FRIGOL S. A. ;FRIGOL  S. A.;2960;RUA Dr. GABRIEL OLIVEIRA ROCHA,  704 ;CENTRO;18.681-030;LEN..IS PAULISTA;SP;(14) 3269-3900;(14) 3263-4050;www.frigol.com.br
02.916.265/0275-21;;JBS S/A;3159;ROD MS 295 - IGUATEMI/ELDORADO, S/N., KM 05 ;ZONA RURAL;79.960-000;IGUATEMI;MS;(67) 3471-4400;(67) 3471-4400;
03.853.896/0016-26;MARFRIG ;MARFRIG GLOBAL FOODS S. A. ;3712;EST.  VICINAL KITIZO UTIYAMA, KM 01;CORREGO AZUL;16.370-000;PROMISS.O;SP;(14) 3543.9600;(14) 3541-1112;www.frigoclass.com.br
02.916.265/0182-98;;JBS S/A;4148;ROD. BR 163 KM 747 S/N.;ZONA RURAL;79.400-000;COXIM;MS;(67) 3291-0000;(67) 3238-1221;www.jbs.com.br
22.882.054/0004-03;DISTRIBOI;DISTRIBOI - INDUSTRIA COM.RCIO E TRANSPORTE DE CARNE BOVINA LTDA;4334;ROD. RO 010 KM 02 S/N.;ZONA RURAL;76.940-000;ROLIM DE MOURA;RO;(69) 3441-8888 ;;
05.017.780/0011-78;;RIO BRANCO ALIMENTOS S/A;4372;ROD. BR 365, KM 455   FAZENDA   SERRA VERDE;;38.740-000;PATROC.NIO;MG;5991500(032);;
03.851.469/0001-22;FRICAL ;FRICAL FRIGORIFICO LTDA - EPP ;4656;ESTRADA SOUZA LIMA, S/N. ;ZONA RURAL;78.164-000;V.RZEA GRANDE;MT;(65) 3029-4255;(65) 3029-4255;
22.882.054/0003-22;DISTRIBOI;DISTRIBOI - INDUSTRIA, COMERCIO E TRANSPORTE DE CARNE BOVINA LTDA;4695;ESTRADA DO AEROPORTO KM 3 N. 5930;SUB URBANO;78.964-460;JI-PARAN.;RO;(069)975.3406;;
05.660.031/0001-92;KM3 INDUSTRIA E COMERCIO  ;L. A. GARCIA - ABATE DE BOVINOS - EIRELI  ;4705;ROD JOSE GARCIA CAMPOS, S/N. KM 3;ZONA RURAL;86.001-970;LONDRINA;PR;(43) 342.9455;;
14.836.553/0001-93;FRIGORIFICO PARAISO ;FRIGORIFICO PARAISO LTDA ;4625;LOTEAMENTO PARAISO S/n. LOTES 22 e 23 ;ZONA RURAL;77.600-000;PARA.SO DO TOCANTINS;TO;(63) 3602-3727 ;;
11.831.785/0002-41;;MERCURIO ALIMENTOS S/A ;4554;ROD. PA, 242, S/N. ;ZONA RURAL ;68.745-000;CASTANHAL;PA;(91) 3805.1212;(91) 3805-1202;
82.996.521/0001-05;;BUGIO AGROPECUARIA LTDA;4569;RODOVIA SC 283 KM 8;;89.801-000;CHAPEC.;SC;;;
12.184.079/0009-94;TOTAL S. A.;TOTAL S. A. ;4576;AV PERSA, S/N. ;DISTRITO INDUSTRIAL ;76.195-000;CEZARINA;GO;(64) 3543-8800;(64) 3543-8824;www.persanet.com.br
09.021.679/0001-70;FRIGONOSSO ;FRIGOR.FICO NOSSO LTDA ;4488;RODOVIA RO 383 KM 03 ;ZONA RURAL;78.975-000;CACOAL;RO;(69) 3441.8888;;
06.088.741/0004-03;VALE GRANDE;VALE GRANDE INDUSTRIA E COMERCIO DE ALIMENTOS S/A;4490;ROD. BR 163 KM 1025, S/N.;SETOR INDUSTRIAL;78.525-000;MATUP.;MT;(66) 3595-3500;(65) 3595-1270;
01.564.597/0001-60; ;FRIGOMIL FRIGOR.FICO MIL LTDA ;4510;ROD BR 364 KM 196, S/N.;BEIRA RIO;78.984-000;PIMENTA BUENO;RO;;;
11.831.785/0003-22;;MERCURIO ALIMENTOS S/A ;4413;ROD. PA 150, S/N., KM 12, CONJUNTO  B ;ZONA RURAL;68.557-080;XINGUARA;PA;(94) 3426.1384;(94) 3426.1121;
22.996.537/0001-96;;CENTRO OESTE ALIMENTOS EIRELI  ;4175;PRA.A EDUARDO LUCAS PEREIRA, 01 ;CENTRO;35.620-000;ABAET.;MG;(37) 35416.1365;(37) 35416.1362;
83.571.083/0001-04;;XINGUARA IND.STRIA E COM.RCIO S/A;4398;ROD.  PA 150 KM 2,5 BLOCO 'G, S/n.;PARQUE INDUSTRIAL ;68.557-080;XINGUARA;PA;(94) 3426.1818;(94) 3426.3596;frigorificoxinguara.com.br
07.540.084/0001-03;MAXI BEEF;MAXI BEEF ALIMENTOS DO BRASIL LTDA;4293;FAZENDA MANOA;ZONA RURAL ;39.864-000;CARLOS CHAGAS;MG;;;
16.499.583/0001-87;FRIGOZATTO ;FRIGORIFICO FRIGOZATTO EIRELI ;4249;RUA RAMIRO BARCELOS, 4845 A;BANDEIRA BRANCA;96.700-000;S.O JER.NIMO;RS;(51) 9807.6338;;
07.141.937/0003-98;;FRIGORIFICO TANGAR. LTDA;4267;AV EDSON LIMA DO NASCIMENTO, 5991, SALA 01;JARDIM CAPELASSO  ;76.912-100;JI-PARAN.;RO;(69) 3416-4500 ;;
02.916.265/0103-94;FRIBOI ;JBS S/A ;4121;ROD MT 240, S/N, KM 07 KM DA BR 158 ;ZONA RURAL;78.635-000;.GUA BOA;MT;66 3468-6300;66 3468-6301;
02.916.265/0041-57;;JBS  S/A;4149;EST. BELMONT S/N KM 18 ;NACIONAL;76.801-870;PORTO VELHO;RO;;;
15.497.408/0001-98;FRIGONOSSO ;FRIGORIFICO NOSSO LTDA ;4086;ESTRADA AC 01 KM 28;RURAL;69.925-000;SENADOR GUIOMARD;AC;;;
09.217.320/0001-72;;RABIC. AGROINDUSTRIAL DE ALIMENTOS LTDA;4088;ESTRADA MUNICIPAL DA VARGINHA KM 09;VARGINHA;18.200-000;ITAPETININGA;SP;(15) 3207-7355;(15) 3207-7354;
16.820.052/0015-40;MATABOI ;MATABOI ALIMENTOS LTDA;4029;ROD. GO 173 S/N KM 14,5;ZONA RURAL;76.265-000;SANTA F. DE GOI.S;GO;62-3385-8500;(62) 3385-8525;www.baldan.net
00.429.957/0001-58;AGROINDUSTRIA DE CARNES NOBRES ESPLANADA ;AGROINDUSTRIA DE CARNES NOBRES ESPLANADA LTDA ;3914;RUA SANTIAGO, FUNDOS RUA NOVA ALIANCA, 3336 QUADRA 06,07 E 08   ;JARDIM MARIA LUCIA;87.501-655;UMUARAMA;PR;(44) 3639-3161;(44) 3639-3161;
10.198.974/0008-51;PLENA ALIMENTOS ;PLENA ALIMENTOS LTDA ;3920;CHACARA CAMPINA VERDE S/N;ZONA SUBURBANA RURAL;76.550-000;PORANGATU;GO;;;
16.995.395/0002-20;BEEF NOBRE  ;NACIONAL DISTRIBUIDORA DE CARNES BEEF LTDA - EPP  ;3961;ROD GO 09, S/N., KM 12 A DIREITA 3 KM FAZENDA MESQUITA GLEBA IV PARTE B;ZONA RURAL ;72.880-000;CIDADE OCIDENTAL;GO;(61) 3373.4260;(61) 3373.4260;
07.313.530/0001-39;;MAPPISA IND.STRIA E COM.RCIO DE CARNES LTDA;3889;ROD. GO 446, KM 8   FAZENDA BOCA DA MATA;ZONA RURAL;73.920-000;IACIARA;GO;62.3473-1681;62.3473-1681;
00.283.996/0002-70;;FRIGORIFICO LARISSA LTDA;3704; ROD BR 272 - KM 207, S/N.;AREA INDUSTRIAL;87.560-000;IPOR.;PR;(44) 3625-1124;(44) 3625-1124;www.frigorificolarissa.com.br
67.620.377/0049-69;MINERVA S. A. ;MINERVA S. A. ;3711;RDV BR 364,  KM 148;ZONA SUBURBANA;38.270-000;CAMPINA VERDE;MG;(34) 3412-4242;(34) 3412-4242;www.minerva.ind.br
14.795.143/0001-41;;BONUTT INDUSTRIA E COMERCIO DE CARNES - EIRELI;3723;ROD BR 262, S/N., KM 752,5   -   CXPST 13;DISTRITO URUCUM;79.301-970;CORUMB.;MS;(67) 3231-6616;(67) 3231-6616;
37.356.854/0001-15;BOA VISTA;BOA VISTA ALIMENTOS  LTDA;3624;ROD GO 070 KM 23; ZONA RURAL;75.370-000;GOIANIRA;GO;62-3516-1300;(62) 3516-1300;
83.177.170/0001-73;FRIGORIFICO GESSNER LTDA;FRIGORIFICO GESSNER LTDA;3603;RUA FRITZ LORENZ,  3520;CENTRO;89.120-000;TIMB.;SC;(47) 3281.1500;;
08.199.996/0020-80;;JBS AVES LTDA;876;RUA JO.O ANDRIOLLO, 1167 - SALA 1 ;ANA RECH;95.060-310;CAXIAS DO SUL;RS;(54) 3283-8500;(54) 3283-8540;www.doux.com.br
02.914.460/0184-40;SEARA;SEARA ALIMENTOS LTDA;3392;ROD ITG 060,  S/N.;LINHA SANTA F.;89.896-000;ITAPIRANGA;SC;(49) 3194-2000;;www.seara.com.br
02.916.265/0191-89;;JBS S/A;3412;ROD PONTA PORA/ANTONIO JO.O, S/N., KM 76;CHACARA ALVORADA;79.900-000;PONTA POR.;MS;(67) 3437-2000;(67) 3431-5584;
01.066.650/0001-00;FRISA NORDESTE;FRIGOR.FICO NORDESTE ALIMENTOS LTDA;3448;FAZENDA CARAIPE, S/n. - SEDE;FAZENDA CARAIPE;45.995-000;TEIXEIRA DE FREITAS;BA;(73) 3292.5554;(73) 3292.5554;www.frisa.com.br
01.838.723/0338-07;;BRF  S. A. ;1;RUA SENADOR ATILIO FONTANA, 86;CENTRO;89.700-000;CONC.RDIA;SC;(49) 3301-3000 ;(49 )3301-3528;www.sadia.com.br                           
13.837.014/0001-06;FRIZELO;FRIZELO FRIGORIFICOS LTDA;1646;ROD BR 262 KM 375, S/N, ETR COLONIA VELHA ;ZONA SUBURBANA;79.190-000;TERENOS;MS;(67) 3246-7163;(67) 3246-7163;
16.489.692/0001-13;FRIG FEIRA DE SANTANA S/A;FRIGORIFICO FEIRA DE SANTANA S/A - FRIFEIRA;2522;ROD BR 101, KM 177;DISTRITO HUMILDES;44.100-000;FEIRA DE SANTANA;BA;(75) 683-1099;;
85.782.878/0001-89;;PAMPLONA ALIMENTOS S/A ;1156;BR 470, KM 150 ;PAMPLONA;89.160-000;RIO DO SUL;SC;(47) 3531-3131;;pamplona
01.838.723/0153-10;;BRF  S. A.;140;AV. PRESIDENTE CASTELO BRANCO, 141 ;CENTRO;89.610-000;HERVAL D'OESTE;SC;(49) 3551.5215;(49) 3554.0109;www.perdigao.com.br                               
07.615.913/0002-42;FRIGOR.FICO ASTRA;FRIGOR.FICO ASTRA DO PARAN. LTDA;1251;OTR PROLONGAMENTO DA RUA PEABIRU, S/N., KM 01 ;ZONA RURAL;87.400-000;CRUZEIRO DO OESTE;PR;(44) 3676-8100;(44) 3676-8100;
08.273.600/0001-35;FRIGORIFICO PLATINA ;FRIGOR.FICO PLATINA LTDA;1332;RUA 24 DE MAIO,  18;;86.430-000;SANTO ANT.NIO DA PLATINA;PR;;;
16.466.217/0001-21;FRIGORIFICO JR ;FRIGORIFICO JR LTDA ;2244;ROD PR 182 KM 03 ;ZONA RURAL;87.900-000;LOANDA;PR;(44) 3425.5000;(44) 3425.5000;
68.067.446/0011-49;FRIGOL;FRIGOL S. A. ;1217;RUA EUROPA S/N;DISTRITO INDUSTRIAL II;17.850-000;LEN..IS PAULISTA;SP;(14) 3263-1082;(14) 3263-3434;www.frigol.com.br
83.310.441/0022-41;AURORA ;COOPERATIVA CENTRAL AURORA ALIMENTOS;3548;RUA AURY LUIZ BODANESE, 401 E ;EFAPI ;89.809-849;CHAPEC.;SC;+ 55 (49) 3321.3700;+ 55 (49) 3321-3723;www.auroraalimentos.com.br
85.782.878/0024-75;;PAMPLONA ALIMENTOS S/A ;377;RUA CURT HERING, 1796;CENTRO;89.150-000;PRESIDENTE GET.LIO;SC;(47) 3352.1311;(47) 3352.1113;pamplona
88.728.027/0001-46;FRIGORIFICO SILVA LTDA;FRIGORIFICO SILVA INDUSTRIA E COMERCIO LTDA;1733;BR 392 KM 08 PASSO DAS TROPAS;;97.100-000;SANTA MARIA;RS;;055.2223588;
12.593.115/0003-88;AGROINDUSTRIAL IGUATEMI;AGROINDUSTRIAL IGUATEMI LTDA;1814;AV BARAO DE ANTONINA, N. 102;CENTRO;86.210-000;JATAIZINHO;PR;(43) 3259-1055;(43) 3259-1055;
06.062.706/0003-26;NIPPOBRAS ;NIPPOBRAS INDUSTRIA COMERCIO E EXPORTAO DE CARNES LTDA;3350;EST INDUSTRIAL, S/N ;SETOR NORDESTE ;77.200-000;FORMOSA;GO;(61) 3631-2115;(61) 3631-4729;
18.626.084/0002-10;NATURAFRIG ;NATURAFRIG ALIMENTOS LTDA ;661;RUA ONOFRE GON.ALVES LOPES,  S/N ;UMBARACA;79.750-000;NOVA ANDRADINA;MS;(67) 3441-4000;(67) 3441-4000;
13.177.019/0001-50;;NUTRIAL AGROINDUSTRIAS REUNIDAS S/A;3246;AV MURILO DANTAS, S/N.;DISTRITO INDUSTRIAL DE PROPRIA ;49.900-000;PROPRI.;SE;(79) ;;
03.853.896/0056-13;;MARFRIG GLOBAL FOODS S. A.;2007;EST ALEGRETE - ITAQUI, S/N, KM 7;CAPIVARI;97.541-970;ALEGRETE;RS;(55) 3421-8900;(55) 3421-8950;www.marfrig.com.br
07.548.858/0001-34;QUALIMAXIMA ; BRASLUZ INDUSTRIA COMERCIO E DISTRIBUICAO DE ALIMENTOS LTDA - ME;3178;RODOVIA BRALUZ KM 5,5 S/N. (CORRUMBA III);SETOR DICAL ;72.800-000;LUZI.NIA;GO;(61) 3622-3703;(61) 3622-4990;
19.580.222/0001-59;;FRIGORIFICO CRISTAL LTDA  ;2205;R JOAO ANDRIOLLO, S/N. - TRAV. HENRIQUE D'AVILA;ANA RECH;95.060-310;CAXIAS DO SUL;RS;(51) 9158-3227 ;;
02.916.265/0230-20;;JBS S/A  ;3112;VILA SANTA RITA DE CASSIA, S/N.;ZONA RURAL;79.540-000;CASSIL.NDIA;MS;(67) 3596-8500;(67) 3596-8515;www.jbs.com.br
64.273.899/0001-07;;AGROPECUARIA AKROPOLIS LTDA;3126;ROD. FERNAO DIAS S/N KM 739 BR 381;;37.490-000;S.O GON.ALO DO SAPUCA.;MG;;;
03.853.896/0054-51;MARFRIG BAGE;MARFRIG GLOBAL FOODS S. A.;232;RUA ANSELMO GARRASTAZU, 137 ;SANTA TEREZA;96.417-740;BAG.;RS;(53) 3240-5700;(53) 3240-5721;www.frigorificomercosul.com.br
67.620.377/0043-73;MINERVA S.A. ;MINERVA S. A. ;3149;ROD.  GO 230, Km 3,5 S/N;ZONA RURAL;76.380-000;GOIAN.SIA;GO;62-3389-9700;62-3389-9708;www.minerva.ind.br
16.706.221/0001-10;FRIGORIFICO BOI GAUCHO ;NERI DO NASCIMENTO EIRELI ;3024;RUA ERNESTO GUEDES, 82 ;VILA MARIANTE;95.815-000;VEN.NCIO AIRES;RS;(51) 3749.0030;(51) 3749.0033;
21.901.517/0001-21;;FRIGORIFICO R & M LTDA;3030;RODOVIA BR 262 KM 12;BORGES;34.500-000;SABAR.;MG;;;
03.853.896/0012-00;MARFRIG ;MARFRIG GLOBAL FOODS S. A. ;3047;ROD. GO 341 S/n. KM 10;ZONA RURAL ;75.830-000;MINEIROS;GO;;64.3672-7300;
05.339.153/0001-81;AGROPASTORIL BS ;AGROPASTORIL BS LTDA;3187;AV. PADRE ROQUE GONAZALES S/N.;CENTRO;98.170-000;TUPANCIRET.;RS;(55) 3272.2626;;
73.717.837/0001-20;;FRIGORIFICO  FORESTA LTDA;3877;ROD RS 630, S/N., KM 09 ;VACACAI ;97.300-000;S.O GABRIEL;RS;(55) 3232-5510;(55) 3232-5510;
73.537.714/0001-07;BETAMPEX-BRA;BETAMPEX-BRA COMERCIO, IMPORTACAO E EXPORTACAO LTDA - ME;2867;ROD. BR 376, KM 135, S/N;RODOVIA DO CAFE;87.600-000;NOVA ESPERAN.A;PR;(44) 9154-2858;;
20.357.448/0001-74;;FRIGOR.FICO VALE DO PARA.SO LTDA ;2903;AV DONATO PASCHOINI, 155;PARQUE INDUSTRIAL ;37.950-000;S.O SEBASTI.O DO PARA.SO;MG;;;
03.990.431/0001-30;;FRIGOR.FICO RAINHA DA PAZ LTDA -ME;2914;ROD. PR 090 KM 02 ;ZONA RURAL;86.200-00;IBIPOR.;PR;(43)  258.1581;;
87.452.710/0001-30;;FRIGORIFICO EXTREMO SUL S. A.;1651;BR 116 KM 526, S/N;JARDIM AM.RICA;96.160-000;CAP.O DO LE.O;RS;;;
06.128.996/0001-00;ATIVO ALIMENTOS;ATIVO ALIMENTOS EXPORTADORA E IMPORTADORA EIRELI;2801;ROD. CASTANHAL/INHANGAPI, KM 04, S/n. ;ZONA RURAL;68.745-000;CASTANHAL;PA;(91) 3721-2244/2245;(91) 3321.2194;www.mafrinorte.com.br
10.853.605/0001-89;BRASIL GLOBAL ;BRASIL GLOBAL AGROINDUSTRIAL LTDA ;2842;RUA  CASTRO ALVES S/N.;CENTRO;79.230-000;GUIA LOPES DA LAGUNA;MS;(67) 3269-1000;(67) 3269-1000;
06.063.610/0001-10;COOPSUL;COOPERATIVA AGROPECU.RIA COOPSUL LTDA;2850;ROD LINDOLFO LEONHARDT, S/N., KM 0;S.O JO.O ;95.870-000;BOM RETIRO DO SUL;RS;(51) 3766.1177;(51) 3766.1185;www.coopsul.com.br
04.352.277/0002-15;;CARNES BOI BRANCO LTDA ;2862;RUA CUIAB., 500;23 DE SETEMBO;78.110-000;V.RZEA GRANDE;MT;(65) 3682-6758;;
02.916.265/0112-85;FRIBOI ;JBS S/A ;2720;ROD. BR, 415 KM 167;ZONA RURAL ;47.710-000;ITAPETINGA;BA;(77) 3261-3461;;
15.548.956/0001-08;;COMESUL BEEF AGRO INDUSTRIAL EIRELI ;2679;BR 471 KM 173;BOA VISTA;96.690-000;PANTANO GRANDE;RS;(51) 3734.1399;;
81.806.598/0001-02;FRIGORIFICO D'PERONE ;FRIGORIFICO D'PERONE LTDA ;2552;ROD BRN 428,  N. 14.530 ;BAIXO PINHEIRAL ;88.750-000;BRA.O DO NORTE;SC;(48) 3668-0070;(48) 3668-0098;
03.221.799/0001-34;;MATADOURO E FRIGORIFICO PALADAR LTDA;2588;RODOVIA BR 381 KM 265 B. LAGOA DO PAU;;35.188-000;JAGUARA.U;MG;(035)84221496;(035)8251496;
57.830.390/0002-25;FRIPARDO;ITAJARA COMERCIO DE CARNES LTDA;2613;RUA JULIO LOZANO,  1134;;18.900-000;SANTA CRUZ DO RIO PARDO;SP;;;
10.198.974/0006-90;;PLENA ALIMENTOS LTDA;2484;RUA  MARTINHO CAMPOS, 21 ;S.O CRISTOV.O ;35.660-385;PAR. DE MINAS;MG;;;
44.802.528/0001-50;FRIGORIFICO ANGELELLI ;FRIGORIFICO ANGELELLI LTDA;2259;RUA JO.O PEDRO CORREA, 1111;SANTA TEREZINHA ;13.411-142;PIRACICABA;SP;(19) 3415.9500;;
23.028.966/0001-32;BEEF PREMIUM;COMERCIAL DE ALIMENTOS PAIVA LTDA - ME;2218;Q QUADRA 01, S/N. , FAZENDA PAIVA III - ZONA RURAL;CHACARAS VALE DAS ANDORINHAS;72.866-403;NOVO GAMA;GO;(61) 3502-0800;(61) 3502-0012;
44.304.053/0001-71;FRIGORIFICO RAJA LTDA.;FRIGORIFICO RAJA LTDA.;2221;AV.FRANCISCO PIGNATARI N 17;;63.000-00;CARAPICU.BA;SP;;;
14.440.906/0002-12;FRIGOXICO  ;FRIGOXICO ALIMENTOS LTDA  ;2153;EST VITAL BATISTA DE ANDRADE, N. 421;PARQUE INDUSTRIAL CACHOEIRA;86.690-000;COLORADO;PR;(44) 3323-3001;;
11.257.856/0001-63;FRIGODELISS CARNES ;FRIGODELISS LTDA;1983;EST. VELHA CAPIVARI - PORTO FELIZ S/N. ;TERRA ROXA;13.360-000;CAPIVARI;SP;(19) 981.9215;;
01.702.122/0001-92;;FRIGORIFICO VALE DO SAPUCA. LTDA;1883;AVENIDA WAGNER LEMOS MACHADO, 1.100;ACUDE ;37.504-326;ITAJUB.;MG;(35) 3623.1777;(35) 3623.1779;
08.852.792/0001-34;;FRIGOR.FICO FRIGOCRUZ LTDA;1744;RODOVIA PR 323 KM 127 LOTES 1B1, B3, B4 ;ZONA RURAL;87.400-000;CRUZEIRO DO OESTE;PR;(44) 3676-2085;(44) 3676-4135;
49.907.009/0001-70;;FRIGOR.FICO SUZANO IND.STRIA E COM.RCIO DE CARNES LTDA;1762;EST. DO MIZUKAMI,  525 ;PALMEIRAS;86.000-00;SUZANO;SP;;;
